id,address,addressLine1,addressLine2,city,state,state_fips,zip_code,county,county_Fips
"5519-Lochmoor,-Apt-1,-San-Antonio,-TX-78244","5519 Lochmoor, Apt 1, San Antonio, TX 78244",5519 Lochmoor,Apt 1,San Antonio,TX,48,78244,Bexar,029
"5515-Lochmoor,-Apt-2,-San-Antonio,-TX-78244","5515 Lochmoor, Apt 2, San Antonio, TX 78244",5515 Lochmoor,Apt 2,San Antonio,TX,48,78244,Bexar,029
"7014-Atherton,-San-Antonio,-TX-78244","7014 Atherton, San Antonio, TX 78244",7014 Atherton,,San Antonio,TX,48,78244,Bexar,029
"7012-Atherton,-San-Antonio,-TX-78244","7012 Atherton, San Antonio, TX 78244",7012 Atherton,,San Antonio,TX,48,78244,Bexar,029
"6906-Moon-Lake-Dr,-San-Antonio,-TX-78244","6906 Moon Lake Dr, San Antonio, TX 78244",6906 Moon Lake Dr,,San Antonio,TX,48,78244,Bexar,029
"6914-Indian-Lake-Dr,-San-Antonio,-TX-78244","6914 Indian Lake Dr, San Antonio, TX 78244",6914 Indian Lake Dr,,San Antonio,TX,48,78244,Bexar,029
"6835-Indian-Lake-Dr,-San-Antonio,-TX-78244","6835 Indian Lake Dr, San Antonio, TX 78244",6835 Indian Lake Dr,,San Antonio,TX,48,78244,Bexar,029
"5515-Lochmoor,-Apt-1,-San-Antonio,-TX-78244","5515 Lochmoor, Apt 1, San Antonio, TX 78244",5515 Lochmoor,Apt 1,San Antonio,TX,48,78244,Bexar,029
"5505-Roanwood,-San-Antonio,-TX-78244","5505 Roanwood, San Antonio, TX 78244",5505 Roanwood,,San Antonio,TX,48,78244,Bexar,029
"5532-Lochmoor,-San-Antonio,-TX-78244","5532 Lochmoor, San Antonio, TX 78244",5532 Lochmoor,,San Antonio,TX,48,78244,Bexar,029
"7028-Atherton,-San-Antonio,-TX-78244","7028 Atherton, San Antonio, TX 78244",7028 Atherton,,San Antonio,TX,48,78244,Bexar,029
"6827-Blue-Lake-Dr,-San-Antonio,-TX-78244","6827 Blue Lake Dr, San Antonio, TX 78244",6827 Blue Lake Dr,,San Antonio,TX,48,78244,Bexar,029
"6902-Quail-Lk,-San-Antonio,-TX-78244","6902 Quail Lk, San Antonio, TX 78244",6902 Quail Lk,,San Antonio,TX,48,78244,Bexar,029
