id,address,city,state,state_fips,zip_code,county,county_fips,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built
"3603-Chenevert-St,-Houston,-TX-77004","3603 Chenevert St, Houston, TX 77004",Houston,TX,48,77004,Harris,201,29.73434,-95.37236,Apartment,1.0,1.0,780.0,2007.0
"450-Normandy-St,-Houston,-TX-77015","450 Normandy St, Houston, TX 77015",Houston,TX,48,77015,Harris,201,29.79291,-95.20328,Apartment,,,,1984.0
"12707-Bellaire-Blvd,-Houston,-TX-77072","12707 Bellaire Blvd, Houston, TX 77072",Houston,TX,48,77072,Harris,201,29.70255,-95.60652,Apartment,,,,1981.0
"10950-Briar-Forest-Dr,-Houston,-TX-77042","10950 Briar Forest Dr, Houston, TX 77042",Houston,TX,48,77042,Harris,201,29.74879,-95.56849,Apartment,,,660.0,1974.0
"8181-El-Mundo-St,-Houston,-TX-77054","8181 El Mundo St, Houston, TX 77054",Houston,TX,48,77054,Harris,201,29.68291,-95.38463,Apartment,2.0,2.0,1241.0,1995.0
"14800-Memorial-Dr,-Houston,-TX-77079","14800 Memorial Dr, Houston, TX 77079",Houston,TX,48,77079,Harris,201,29.7727,-95.61136,Apartment,1.0,1.5,989.0,2016.0
"2255-Eldridge-Pkwy,-Houston,-TX-77077","2255 Eldridge Pkwy, Houston, TX 77077",Houston,TX,48,77077,Harris,201,29.74172,-95.62337,Apartment,1.0,1.0,810.0,1998.0
"5105-Airline-Dr,-Houston,-TX-77022","5105 Airline Dr, Houston, TX 77022",Houston,TX,48,77022,Harris,201,29.840098,-95.385124,Apartment,2.0,1.0,950.0,2004.0
"9757-Pine-Lake-Dr,-Houston,-TX-77055","9757 Pine Lake Dr, Houston, TX 77055",Houston,TX,48,77055,Harris,201,29.78924,-95.53189,Apartment,2.0,2.0,1166.0,2007.0
"7315-Brompton-St,-Houston,-TX-77025","7315 Brompton St, Houston, TX 77025",Houston,TX,48,77025,Harris,201,29.70238,-95.42187,Apartment,1.0,1.0,505.0,1970.0
"611-N-Dairy-Ashford-Rd,-Houston,-TX-77079","611 N Dairy Ashford Rd, Houston, TX 77079",Houston,TX,48,77079,Harris,201,29.76885,-95.60673,Apartment,2.0,2.0,,2015.0
"2151-S-Kirkwood-Dr,-Houston,-TX-77077","2151 S Kirkwood Dr, Houston, TX 77077",Houston,TX,48,77077,Harris,201,29.74372,-95.58726,Apartment,,,,1982.0
"1920-Hollister-St,-Houston,-TX-77080","1920 Hollister St, Houston, TX 77080",Houston,TX,48,77080,Harris,201,29.80841,-95.5056,Apartment,1.0,1.0,,2018.0
"3833-Cummins-St,-Houston,-TX-77027","3833 Cummins St, Houston, TX 77027",Houston,TX,48,77027,Harris,201,29.73033,-95.43694,Apartment,0.0,1.0,685.0,2007.0
"10070-Westpark-Dr,-Houston,-TX-77042","10070 Westpark Dr, Houston, TX 77042",Houston,TX,48,77042,Harris,201,29.72345,-95.54334,Apartment,1.0,1.0,523.0,1977.0
"14504-Briar-Forest-Dr,-Houston,-TX-77077","14504 Briar Forest Dr, Houston, TX 77077",Houston,TX,48,77077,Harris,201,29.75708,-95.63928,Apartment,1.0,1.0,817.0,1999.0
"13155-Woodforest-Blvd,-Houston,-TX-77015","13155 Woodforest Blvd, Houston, TX 77015",Houston,TX,48,77015,Harris,201,29.7939,-95.19182,Apartment,,,,1982.0
"16755-W-Lake-Houston-Pkwy,-Houston,-TX-77044","16755 W Lake Houston Pkwy, Houston, TX 77044",Houston,TX,48,77044,Harris,201,29.96478,-95.17079,Apartment,1.0,1.0,663.0,2016.0
